detector,target_group,seed,head_fit_seconds,selected_parameter,source_validation_pr_auc,technical_seed_reused,seed_reused_from,metadata_relative_path,metadata_sha256,execution_status
hashing,linux,13,1.4687924000027124,1e-05,0.1834836299852597,False,,predictions/linux/seed-13.json,CA14D1C30172389E037C08ED65CA7D3DB14FFB45442621FD6BE759C1331DDC70,executed
hashing,linux,37,1.4064205000031507,1e-05,0.17750472740143636,False,,predictions/linux/seed-37.json,081FEA39072089EBE4D61C5203A3534E9A92E13F09ACF1A90FCA31F5D37C0E99,executed
hashing,linux,73,1.397268199987593,1e-05,0.18820485317496682,False,,predictions/linux/seed-73.json,956AC2BD899294F8CF4FFEDD44EDFAFD8D1B9CD988E1D4C2C1E8F9BB3B97F5A1,executed
hashing,linux,101,1.3938686000037706,1e-05,0.18886146939792064,False,,predictions/linux/seed-101.json,2530E4CE4FFDA3F708FB2A69103F94A6F253DE665E90966783894F101F364F79,executed
hashing,linux,137,1.377252899997984,1e-05,0.18455127223683243,False,,predictions/linux/seed-137.json,6556C680864E322B9D91839D3756D59878E2BEAAA79869CAF48398753DDAABFE,executed
hashing,mongo,13,1.844118699998944,1e-05,0.15909843294036946,False,,predictions/mongo/seed-13.json,8299359E2076A08AFEF66F830A50AA46424AA34BECC9B4CFE7728BC243B739E0,executed
hashing,mongo,37,1.8781202000100166,1e-05,0.1639623579615732,False,,predictions/mongo/seed-37.json,05C03986B79F503F7E419DDE9E83AB53E81D21E5F9818C607E2C85D39E04DED7,executed
hashing,mongo,73,1.8736716999992495,1e-05,0.16322597684716933,False,,predictions/mongo/seed-73.json,CA452C81BC694AE797E843F45E055EB678BB68AB6C7FE5C48D3CE28C4A8C5B74,executed
hashing,mongo,101,2.0070474999956787,1e-05,0.1689640549379619,False,,predictions/mongo/seed-101.json,D5DF10B74B29968A3D247C490E3B148F99E3C6DEE3C7B181F36B599EAF924A71,executed
hashing,mongo,137,1.8275737000076333,1e-05,0.15004671301134404,False,,predictions/mongo/seed-137.json,E4A5E463262EDED8B2D192D4E87101FDC68812E0A4952C957A95277571A60996,executed
hashing,mysql-server,13,1.8457894000021042,1e-05,0.16055185773987357,False,,predictions/mysql-server/seed-13.json,93749A0D36EA5BC1BCFC7A513B9445818CEB8743F9FB559781D6B4DD72B8AF44,executed
hashing,mysql-server,37,1.8795403999974951,1e-05,0.1617084227733987,False,,predictions/mysql-server/seed-37.json,ABD4D491F432CA722F638B67B42C2F4B8FC9A4589E58F3C29918CDBA8B1D8A5A,executed
hashing,mysql-server,73,1.8777670999988914,1e-05,0.166766415912629,False,,predictions/mysql-server/seed-73.json,717D75C9ED8C7A722986DD5EFD83F654FBAFCFBDDFBA7A9B9B57BACC3E080F23,executed
hashing,mysql-server,101,1.8605280999909155,1e-05,0.15655316087313007,False,,predictions/mysql-server/seed-101.json,D880B1FBAC1129C393C19BF77D8E929DDA4CC34E9184747477ECF1E290646044,executed
hashing,mysql-server,137,1.9855525000020862,1e-05,0.15755437318044377,False,,predictions/mysql-server/seed-137.json,653ADA667E52D9AD3FDAAB6BC4CA5B176E5D6442C3224F729FC61AADD394A1F9,executed
hashing,net,13,1.8231990000058431,1e-05,0.16262972574399195,False,,predictions/net/seed-13.json,ABB789FE8195EB401F9500586975A79911D76E8429A06268E1C3B26147A4F02F,executed
hashing,net,37,1.7701703000057023,1e-05,0.16158530265204904,False,,predictions/net/seed-37.json,AAA872281564457D450E96948B1E49863247DA771341035A9CD28F5D8BC4D4DF,executed
hashing,net,73,1.828418999997666,1e-05,0.15740644182901206,False,,predictions/net/seed-73.json,A5A40BC0673BB4146F778059D76E3D7C5ED56ECF20F6C46E648A7D03431D3EA3,executed
hashing,net,101,1.8139545000012731,1e-05,0.1517555744643311,False,,predictions/net/seed-101.json,D51E2D801951A488DEC3BCA929EE93A6F1670C1476BB482506005D1B1258E28D,executed
hashing,net,137,1.8491390999988653,1e-05,0.15918669468750496,False,,predictions/net/seed-137.json,C4DC0B6FFCAE1F7E14045E04AA06477845745E33A8E205086C95FAB95559767D,executed
hashing,openssl,13,1.8036813999933656,1e-05,0.15382118209876983,False,,predictions/openssl/seed-13.json,4FC9D41332531C033DADAF3D5C0DBC0BAB46B82B18A3D57061B435D50C24EF21,executed
hashing,openssl,37,1.833272699994268,1e-05,0.15861376496914614,False,,predictions/openssl/seed-37.json,FCBBACE2170DB3E24F1B567F7FD1A6E1208CF4833A361EC2219B322DD2CE9E04,executed
hashing,openssl,73,1.8355767000030028,1e-05,0.163807588285326,False,,predictions/openssl/seed-73.json,CCE268A5BF45E1CA082E22DDD745D68D09E3033920FB09184248C1140FBB715E,executed
hashing,openssl,101,1.8381477000075392,1e-05,0.16258391985146456,False,,predictions/openssl/seed-101.json,85B8913683F277357D17AFAC748C5CC71DC03E7795BFB8F57A034CB68CD329A6,executed
hashing,openssl,137,1.877739700008533,1e-05,0.1671582736518768,False,,predictions/openssl/seed-137.json,32ABF25F78E084D3CB67F81254B79CEAC82169639356D0F698152E54C5148688,executed
hashing,php,13,1.7597837999928743,1e-05,0.1619170168164416,False,,predictions/php/seed-13.json,4342EB95D490B736D8E68FD6942AD0EB42BE983296F78EC250BF00089373ED35,executed
hashing,php,37,1.7833166999917012,1e-05,0.15868775742826938,False,,predictions/php/seed-37.json,D49681003F9CBB1992C220F591E372A033EF9C6AC3804CF8432A326B1509B80F,executed
hashing,php,73,1.7484175999998115,1e-05,0.15403934709732958,False,,predictions/php/seed-73.json,46F71591D99080AD4A7BD0DDD1A068260FCBA71EEF0A7DDC0AB140252CFA34ED,executed
hashing,php,101,1.7657026999950176,1e-05,0.16140089467580052,False,,predictions/php/seed-101.json,7DB6CB3B4085E4E072C448D24BD89C48920911998DFE8BDD346832DB500A7C1C,executed
hashing,php,137,1.7876697999890894,1e-05,0.1563403816854094,False,,predictions/php/seed-137.json,BE3EE7DB039CE9C546466C555DA8AA1D4B60242E5821C01DFD4CEF11EEB62C6C,executed
hashing,postgres,13,1.7903488000010839,1e-05,0.15755547146382443,False,,predictions/postgres/seed-13.json,1B93E148D4EDE372928E25D8FFB2A116891A8543FCAAC6CC0EBEBC8818D41348,executed
hashing,postgres,37,1.8939816000056453,1e-05,0.1680530320227629,False,,predictions/postgres/seed-37.json,7DD8848C465A71806EE0534C1DC3F7A7FC6691B80366AD7BA5D9FA543FC78E24,executed
hashing,postgres,73,2.2917315999948187,1e-05,0.16474291107678965,False,,predictions/postgres/seed-73.json,C6D80E921CFB9CAC7D896C215E454C45CDB1ABBDA4B5407A922544CC135C177F,executed
hashing,postgres,101,1.8692465000058291,1e-05,0.1601151262485605,False,,predictions/postgres/seed-101.json,DAB29A1BA5EF38518A8B973B8F34AA3600D8B6CC5E4CB8FB8E0137A24AAB8C51,executed
hashing,postgres,137,1.8391484000021592,1e-05,0.15849299806900302,False,,predictions/postgres/seed-137.json,CBFE7153551B6C9689B2E0A8FEBA4C71DE0EE9D370298FA72804035809F52D56,executed
hashing,qemu,13,1.8690713999967556,1e-05,0.16729725108627005,False,,predictions/qemu/seed-13.json,5519543B54309ABBBD8618121D419BE9E3FC9CBD5A805C07FA1B33FA17B69A3C,executed
hashing,qemu,37,1.7796481000114,1e-05,0.158503554592676,False,,predictions/qemu/seed-37.json,E94EAC4FFF9D11522C05982A261B12678DC74297EC15139589086B3B44F88F67,executed
hashing,qemu,73,1.8357077999971807,1e-05,0.1612121225315482,False,,predictions/qemu/seed-73.json,E14251F073E713C187A22B0E8EB74739443F5DDE9F12CCC674E5D156E4AE2A1D,executed
hashing,qemu,101,1.7738169000076596,1e-05,0.15988677081119781,False,,predictions/qemu/seed-101.json,5DDB05FD0AA03B2460E6689831E81D8B10F3BF710972A9E80C66B821D8B217CB,executed
hashing,qemu,137,1.811596700004884,1e-05,0.15338797127733766,False,,predictions/qemu/seed-137.json,341F398A4633DDDD3580B072A541D006B5BF854F6F457220CC1B9BA2CC26F90A,executed
hashing,qpdf,13,1.8602664999925764,1e-05,0.1619217450354458,False,,predictions/qpdf/seed-13.json,2EA7C51EC2727D0C70C45D3BCE2DA209788A5B5E59363FDE76E1AA0C03C027B8,executed
hashing,qpdf,37,1.828959799997392,1e-05,0.15785913977580404,False,,predictions/qpdf/seed-37.json,1A525807B59A0FB189F8C38C82655DAED18E7FD557BFDEAA264DB708D21411D1,executed
hashing,qpdf,73,1.8394870000047376,1e-05,0.1647539248576307,False,,predictions/qpdf/seed-73.json,108F7B8EAF5AB4D788B6D2A84E8110BFD01CE513D547EB06B3D84068458184A2,executed
hashing,qpdf,101,1.8170552999945357,1e-05,0.1592753546695332,False,,predictions/qpdf/seed-101.json,7396C21BB28C0E1A1148B5ACEAB4392FE295694376887F74156B6CEA457CDD43,executed
hashing,qpdf,137,1.7628541000012774,1e-05,0.15331155924903284,False,,predictions/qpdf/seed-137.json,CF5F39A21C58287310B03206AAD114D2A215603CAE5FF0D0D4C44CB335B96FFB,executed
hashing,radare2,13,1.803827399999136,1e-05,0.1606095237411894,False,,predictions/radare2/seed-13.json,1D0729E68BBA90D98B4EC05AF808243C9A683DA0256C13F9436372726D21EF8F,executed
hashing,radare2,37,1.840763899992453,1e-05,0.14725841441170537,False,,predictions/radare2/seed-37.json,C7E30E7E742B16A4165E932FCD88EBD9606298C12A2DA1663F89768347F296B9,executed
