detector,fraction,method,metric,projects,median,q25,q75
codebert,0.75,unweighted_mondrian,vulnerable_miscoverage,24,0.2140031707253684,0.1425247992442135,0.32171743697478994
codebert,0.75,unweighted_mondrian,safe_miscoverage,24,0.22175069441266243,0.17891860080052985,0.28368457038250106
codebert,0.75,unweighted_mondrian,vulnerable_violation,24,0.11400317072536839,0.042524799244213506,0.2217174369747899
codebert,0.75,unweighted_mondrian,safe_violation,24,0.02175069441266242,0.0,0.08368457038250102
codebert,0.75,unweighted_mondrian,max_relative_violation,24,1.2185262083648583,0.8573220996484421,2.217174369747899
codebert,0.75,unweighted_mondrian,singleton_coverage,24,0.7635472135770137,0.7382904000722853,0.7884602661444313
codebert,0.75,unweighted_mondrian,review_load,24,0.23645278642298623,0.21153973385556862,0.2617095999277147
codebert,0.75,unweighted_mondrian,pr_auc,24,0.19275838277662577,0.14115407846153,0.2781983403143705
codebert,0.75,unweighted_mondrian,brier,24,0.20306575656672493,0.1732672829938936,0.23580358104544363
codebert,0.75,vultriage_full_gate_clip_20,vulnerable_miscoverage,24,0.2207428391564369,0.14701181842600053,0.3463115918243678
codebert,0.75,vultriage_full_gate_clip_20,safe_miscoverage,24,0.17582547036736498,0.14665333026553498,0.2420297249866899
codebert,0.75,vultriage_full_gate_clip_20,vulnerable_violation,24,0.12074283915643688,0.04767391888262154,0.24631159182436782
codebert,0.75,vultriage_full_gate_clip_20,safe_violation,24,0.0,0.0,0.04202972498668989
codebert,0.75,vultriage_full_gate_clip_20,max_relative_violation,24,1.2074283915643687,0.6191185157663737,2.4631159182436777
codebert,0.75,vultriage_full_gate_clip_20,singleton_coverage,24,0.7388848119417923,0.6642198242396283,0.7799119310280893
codebert,0.75,vultriage_full_gate_clip_20,review_load,24,0.26111518805820755,0.22008806897191063,0.3357801757603718
codebert,0.75,vultriage_full_gate_clip_20,pr_auc,24,0.19275838277662577,0.14115407846153,0.2781983403143705
