detector,target_group,fraction,method,vulnerable_miscoverage,safe_miscoverage,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier
hashing,ghostpdl,1.0,estimated_weight_no_gate_clip_20,0.20550458715596331,0.2121212121212121,0.10550458715596331,0.01212121212121211,1.0550458715596331,0.602826855123675,0.39717314487632505,0.18447960221288187,0.20309615467544329
hashing,ghostpdl,1.0,unweighted_mondrian,0.21651376146788992,0.22424242424242424,0.1165137614678899,0.02424242424242424,1.165137614678899,0.654416961130742,0.3455830388692579,0.18447960221288187,0.20309615467544329
hashing,ghostpdl,1.0,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18447960221288187,0.20309615467544329
hashing,imagemagick,0.25,estimated_weight_no_gate_clip_20,0.005733333333333333,0.3189233954451346,0.0,0.11892339544513457,0.5946169772256727,0.47310344827586204,0.526896551724138,0.5492966338752726,0.2551903324507374
hashing,imagemagick,0.25,unweighted_mondrian,0.16386666666666666,0.32364389233954455,0.06386666666666665,0.1236438923395445,0.7878095238095237,0.7573946360153256,0.24260536398467433,0.5492966338752726,0.2551903324507374
hashing,imagemagick,0.25,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5492966338752726,0.2551903324507374
hashing,imagemagick,0.5,estimated_weight_no_gate_clip_20,0.0176,0.32728778467908903,0.0,0.12728778467908902,0.636438923395445,0.501404853128991,0.4985951468710089,0.5492966338752726,0.2551903324507374
hashing,imagemagick,0.5,unweighted_mondrian,0.1548,0.3220703933747412,0.054799999999999995,0.12207039337474118,0.7502443064182194,0.7465644955300128,0.25343550446998725,0.5492966338752726,0.2551903324507374
hashing,imagemagick,0.5,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5492966338752726,0.2551903324507374
hashing,imagemagick,0.75,estimated_weight_no_gate_clip_20,0.028399999999999998,0.3329192546583851,0.0,0.13291925465838508,0.6645962732919254,0.5215325670498084,0.4784674329501916,0.5492966338752726,0.2551903324507374
hashing,imagemagick,0.75,unweighted_mondrian,0.16213333333333335,0.3217391304347826,0.06213333333333333,0.1217391304347826,0.7749896480331262,0.7549425287356323,0.2450574712643678,0.5492966338752726,0.2551903324507374
hashing,imagemagick,0.75,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5492966338752726,0.2551903324507374
hashing,imagemagick,1.0,estimated_weight_no_gate_clip_20,0.04466666666666667,0.3341614906832298,0.0,0.1341614906832298,0.670807453416149,0.5371647509578544,0.46283524904214557,0.5492966338752726,0.2551903324507374
hashing,imagemagick,1.0,unweighted_mondrian,0.1653333333333333,0.32215320910973083,0.06533333333333333,0.12215320910973083,0.7883229813664596,0.7586206896551724,0.24137931034482757,0.5492966338752726,0.2551903324507374
hashing,imagemagick,1.0,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5492966338752726,0.2551903324507374
hashing,jasper,0.25,estimated_weight_no_gate_clip_20,0.021477832512315272,0.22133333333333333,0.0,0.02261728395061728,0.11308641975308639,0.3671052631578947,0.6328947368421053,0.4955741159669189,0.2345506332995739
hashing,jasper,0.25,unweighted_mondrian,0.26147783251231527,0.20316049382716048,0.16147783251231526,0.01007407407407407,1.6147783251231527,0.6890131578947368,0.3109868421052632,0.4955741159669189,0.2345506332995739
hashing,jasper,0.25,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4955741159669189,0.2345506332995739
hashing,jasper,0.5,estimated_weight_no_gate_clip_20,0.02857142857142857,0.22320987654320987,0.0,0.024296296296296288,0.12148148148148145,0.39921052631578946,0.6007894736842105,0.4955741159669189,0.2345506332995739
hashing,jasper,0.5,unweighted_mondrian,0.2541871921182266,0.20128395061728394,0.1541871921182266,0.009283950617283947,1.541871921182266,0.6765131578947369,0.32348684210526313,0.4955741159669189,0.2345506332995739
hashing,jasper,0.5,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4955741159669189,0.2345506332995739
hashing,jasper,0.75,estimated_weight_no_gate_clip_20,0.04630541871921182,0.22360493827160494,0.0,0.024296296296296288,0.12148148148148141,0.46131578947368423,0.5386842105263159,0.4955741159669189,0.2345506332995739
hashing,jasper,0.75,unweighted_mondrian,0.2660098522167488,0.20069135802469135,0.16600985221674874,0.00898765432098765,1.6600985221674875,0.6890131578947368,0.3109868421052632,0.4955741159669189,0.2345506332995739
hashing,jasper,0.75,vultriage_full_gate_clip_20,0.006896551724137932,0.044444444444444446,0.0,0.004641975308641973,0.02320987654320986,0.0856578947368421,0.914342105263158,0.4955741159669189,0.2345506332995739
hashing,jasper,1.0,estimated_weight_no_gate_clip_20,0.07093596059113301,0.22320987654320987,0.0,0.023703703703703692,0.11851851851851845,0.5108552631578948,0.4891447368421053,0.4955741159669189,0.2345506332995739
hashing,jasper,1.0,unweighted_mondrian,0.27290640394088667,0.20197530864197533,0.1729064039408867,0.00938271604938271,1.729064039408867,0.6983552631578948,0.30164473684210524,0.4955741159669189,0.2345506332995739
hashing,jasper,1.0,vultriage_full_gate_clip_20,0.07093596059113301,0.22320987654320987,0.0,0.023703703703703692,0.11851851851851845,0.5108552631578948,0.4891447368421053,0.4955741159669189,0.2345506332995739
hashing,krb5,0.25,estimated_weight_no_gate_clip_20,0.0288135593220339,0.22369973190348524,0.0,0.023764075067024115,0.11882037533512058,0.34281059063136454,0.6571894093686355,0.30115192706391936,0.27070758267116096
hashing,krb5,0.25,unweighted_mondrian,0.19118644067796609,0.2949061662198391,0.0911864406779661,0.09490616621983912,0.9504612168855363,0.6263951120162933,0.3736048879837067,0.30115192706391936,0.27070758267116096
hashing,krb5,0.25,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30115192706391936,0.27070758267116096
hashing,krb5,0.5,estimated_weight_no_gate_clip_20,0.04271186440677966,0.22659517426273457,0.0,0.02698123324396782,0.13490616621983909,0.39103869653767825,0.6089613034623218,0.30115192706391936,0.27070758267116096
hashing,krb5,0.5,unweighted_mondrian,0.18338983050847457,0.29168900804289544,0.08338983050847457,0.09168900804289543,0.8915708638160583,0.6133604887983707,0.38663951120162937,0.30115192706391936,0.27070758267116096
