detector,target_group,alpha_vulnerable,alpha_safe,method,max_relative_violation,vulnerable_violation,safe_violation,singleton_coverage,review_load
codebert,FreeRDP,0.01,0.2,vultriage_infinity_only_clip_20,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.2,vultriage_infinity_only_clip_50,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.05,0.05,entropy_matched_unweighted_mondrian,5.666666666666666,0.2833333333333333,0.0,0.5183673469387755,0.4816326530612245
codebert,FreeRDP,0.05,0.05,estimated_weight_no_gate_clip_10,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,estimated_weight_no_gate_clip_20,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,estimated_weight_no_gate_clip_50,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,forced_argmax,11.624113475177303,0.5812056737588652,0.1728843861740167,1.0,0.0
codebert,FreeRDP,0.05,0.05,msp_matched_unweighted_mondrian,5.666666666666666,0.2833333333333333,0.0,0.5183673469387755,0.4816326530612245
codebert,FreeRDP,0.05,0.05,msp_matched_vultriage_full_gate,5.5248226950354615,0.2762411347517731,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,pooled_split_conformal,5.808510638297872,0.2904255319148936,0.0,0.5265306122448979,0.47346938775510206
codebert,FreeRDP,0.05,0.05,prom_derived_aps,1.127659574468085,0.0563829787234042,0.0,0.17918367346938768,0.8208163265306123
codebert,FreeRDP,0.05,0.05,prom_derived_lac,5.808510638297872,0.2904255319148936,0.0,0.5265306122448979,0.47346938775510206
codebert,FreeRDP,0.05,0.05,prom_derived_raps,1.127659574468085,0.0563829787234042,0.0,0.176938775510204,0.8230612244897959
codebert,FreeRDP,0.05,0.05,prom_derived_topk,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.05,0.05,prom_derived_union,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.05,0.05,temperature_msp_matched_unweighted_mondrian,5.666666666666666,0.2833333333333333,0.0,0.5183673469387755,0.4816326530612245
codebert,FreeRDP,0.05,0.05,temperature_msp_matched_vultriage_full_gate,5.5248226950354615,0.2762411347517731,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,unweighted_mondrian,5.5248226950354615,0.2762411347517731,0.0,0.5183673469387755,0.4816326530612245
codebert,FreeRDP,0.05,0.05,vultriage_ess_only_clip_10,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,vultriage_ess_only_clip_20,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,vultriage_ess_only_clip_50,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,vultriage_full_gate_clip_10,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,vultriage_full_gate_clip_20,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,vultriage_full_gate_clip_50,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,vultriage_infinity_only_clip_10,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,vultriage_infinity_only_clip_20,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.05,vultriage_infinity_only_clip_50,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306
codebert,FreeRDP,0.05,0.1,entropy_matched_unweighted_mondrian,6.375886524822694,0.3187943262411347,0.0,0.5704081632653061,0.4295918367346938
codebert,FreeRDP,0.05,0.1,estimated_weight_no_gate_clip_10,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
