detector,alpha_vulnerable,alpha_safe,baseline,method,outcome,projects,nonzero_projects,median_paired_difference,hodges_lehmann_paired_shift,bootstrap_median_ci_lower,bootstrap_median_ci_upper,wins,ties,losses,exact_sign_p,wilcoxon_exact_p,holm_adjusted_wilcoxon_p
codebert,0.01,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,review_load,24,24,0.05456704420898795,0.12841406865014562,0.021381578947368363,0.23533891850723532,5,0,19,0.006610751152038574,0.0005675554275512695,0.002270221710205078
codebert,0.01,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,max_relative_violation,24,17,0.0,-0.34246575342465746,-0.777479892761394,0.0,11,7,6,0.332305908203125,0.4873809814453125,1.0
codebert,0.01,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,vulnerable_violation,24,14,0.0,0.0,-0.0053097345132743015,0.0,8,10,6,0.79052734375,0.71484375,1.0
codebert,0.01,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,safe_violation,24,12,-0.0012239902080783509,-0.00998613037447985,-0.019205002233139805,0.0,12,12,0,0.00048828125,0.00048828125,0.00244140625
codebert,0.01,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,singleton_coverage,24,24,-0.0309448641334987,-0.04013886277142836,-0.06279515742782586,-0.01580826109128003,6,0,18,0.022655844688415527,0.010507822036743164,0.03152346611022949
codebert,0.01,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,review_load,24,24,0.030944864133498617,0.04013886277142836,0.015808261091279863,0.06279515742782582,6,0,18,0.022655844688415527,0.010507822036743164,0.03152346611022949
codebert,0.01,0.1,unweighted_mondrian,vultriage_full_gate_clip_20,max_relative_violation,24,17,0.0,-0.34246575342465746,-0.777479892761394,0.0,11,7,6,0.332305908203125,0.51708984375,1.0
codebert,0.01,0.1,unweighted_mondrian,vultriage_full_gate_clip_20,vulnerable_violation,24,14,0.0,0.0,-0.0053097345132743015,0.0,8,10,6,0.79052734375,0.7608642578125,1.0
codebert,0.01,0.1,unweighted_mondrian,vultriage_full_gate_clip_20,safe_violation,24,12,-0.0012239902080783509,-0.00998613037447985,-0.019205002233139805,0.0,12,12,0,0.00048828125,0.00048828125,0.00244140625
codebert,0.01,0.1,unweighted_mondrian,vultriage_full_gate_clip_20,singleton_coverage,24,24,-0.0309448641334987,-0.03983128110690398,-0.05976839745984319,-0.01580826109128003,6,0,18,0.022655844688415527,0.012604832649230957,0.03152346611022949
codebert,0.01,0.1,unweighted_mondrian,vultriage_full_gate_clip_20,review_load,24,24,0.030944864133498617,0.03983128110690398,0.015808261091279863,0.05976839745984308,6,0,18,0.022655844688415527,0.012604832649230957,0.03152346611022949
codebert,0.01,0.1,unweighted_mondrian,prom_derived_union,max_relative_violation,24,22,-2.4091184232827296,-4.018469656992084,-6.758620689655173,-1.73972602739726,22,2,0,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-06
codebert,0.01,0.1,unweighted_mondrian,prom_derived_union,vulnerable_violation,24,19,-0.0240911842328272,-0.03781931317321512,-0.0675862068965517,-0.014206283734414349,19,5,0,3.814697265625e-06,3.814697265625e-06,1.9073486328125e-05
codebert,0.01,0.1,unweighted_mondrian,prom_derived_union,safe_violation,24,12,-0.0018084066471163,-0.030035530676979474,-0.0431972789115646,0.0,12,12,0,0.00048828125,0.00048828125,0.00244140625
codebert,0.01,0.1,unweighted_mondrian,prom_derived_union,singleton_coverage,24,24,-0.2952225774717166,-0.2983213199023832,-0.3279510022271715,-0.271424233221986,0,0,24,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
codebert,0.01,0.1,unweighted_mondrian,prom_derived_union,review_load,24,24,0.29522257747171665,0.2983213199023832,0.27142423322198606,0.32795100222717144,0,0,24,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
codebert,0.01,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,max_relative_violation,24,17,0.0,-0.265486725663717,-0.6568364611260051,0.0,11,7,6,0.332305908203125,0.5790557861328125,1.0
codebert,0.01,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,vulnerable_violation,24,14,0.0,0.0,-0.0053097345132743015,0.0,8,10,6,0.79052734375,0.855224609375,1.0
codebert,0.01,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,safe_violation,24,17,-0.007546967257112201,-0.022319884802920603,-0.0379191972537628,0.0,14,7,3,0.012725830078125,0.007904052734375,0.007904052734375
codebert,0.01,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,singleton_coverage,24,24,-0.049841487454038186,-0.05237045931487737,-0.07858455882352938,-0.022690463433326813,5,0,19,0.006610751152038574,0.0035042762756347656,0.006737351417541504
codebert,0.01,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,review_load,24,24,0.04984148745403824,0.05237045931487738,0.026007139214686337,0.07858455882352944,5,0,19,0.006610751152038574,0.0035042762756347656,0.006737351417541504
codebert,0.01,0.2,unweighted_mondrian,vultriage_ess_only_clip_20,max_relative_violation,24,18,-0.5103023938664821,-0.5835694274962436,-0.9854469854469856,0.0,13,6,5,0.09625244140625,0.11870574951171875,0.474822998046875
codebert,0.01,0.2,unweighted_mondrian,vultriage_ess_only_clip_20,vulnerable_violation,24,15,0.0,-0.00427350427350425,-0.01135349739362345,0.0,10,9,5,0.30175781249999994,0.207763671875,0.8310546875
codebert,0.01,0.2,unweighted_mondrian,vultriage_ess_only_clip_20,safe_violation,24,16,-0.009780208379648152,-0.030050537522617576,-0.0534013605442176,0.0,15,8,1,0.000518798828125,6.103515625e-05,0.000244140625
codebert,0.01,0.2,unweighted_mondrian,vultriage_ess_only_clip_20,singleton_coverage,24,24,-0.08659645031715638,-0.19162272905960567,-0.3538344722854973,-0.046408839779005506,4,0,20,0.001543879508972168,6.389617919921875e-05,0.000255584716796875
codebert,0.01,0.2,unweighted_mondrian,vultriage_ess_only_clip_20,review_load,24,24,0.0865964503171564,0.1916227290596057,0.04640883977900556,0.35383447228549736,4,0,20,0.001543879508972168,6.389617919921875e-05,0.000255584716796875
codebert,0.01,0.2,unweighted_mondrian,vultriage_infinity_only_clip_20,max_relative_violation,24,17,0.0,-0.265486725663717,-0.6568364611260051,0.0,11,7,6,0.332305908203125,0.4873809814453125,1.0
codebert,0.01,0.2,unweighted_mondrian,vultriage_infinity_only_clip_20,vulnerable_violation,24,14,0.0,0.0,-0.0053097345132743015,0.0,8,10,6,0.79052734375,0.71484375,1.0
codebert,0.01,0.2,unweighted_mondrian,vultriage_infinity_only_clip_20,safe_violation,24,16,-0.007546967257112201,-0.02239944521497915,-0.0379191972537628,0.0,14,8,2,0.004180908203125,0.001678466796875,0.005035400390625
codebert,0.01,0.2,unweighted_mondrian,vultriage_infinity_only_clip_20,singleton_coverage,24,24,-0.049841487454038186,-0.06254804277380296,-0.09460834181078337,-0.026007139214686392,5,0,19,0.006610751152038574,0.002245783805847168,0.006737351417541504
codebert,0.01,0.2,unweighted_mondrian,vultriage_infinity_only_clip_20,review_load,24,24,0.04984148745403824,0.06254804277380296,0.026007139214686337,0.09460834181078337,5,0,19,0.006610751152038574,0.002245783805847168,0.006737351417541504
codebert,0.01,0.2,unweighted_mondrian,vultriage_full_gate_clip_20,max_relative_violation,24,17,0.0,-0.265486725663717,-0.6568364611260051,0.0,11,7,6,0.332305908203125,0.51708984375,1.0
codebert,0.01,0.2,unweighted_mondrian,vultriage_full_gate_clip_20,vulnerable_violation,24,14,0.0,0.0,-0.0053097345132743015,0.0,8,10,6,0.79052734375,0.7608642578125,1.0
codebert,0.01,0.2,unweighted_mondrian,vultriage_full_gate_clip_20,safe_violation,24,16,-0.007546967257112201,-0.02239944521497915,-0.0379191972537628,0.0,14,8,2,0.004180908203125,0.001678466796875,0.005035400390625
