detector,target_group,seed,alpha_vulnerable,alpha_safe,method,near_duplicate_sensitivity,n,n_vulnerable,n_safe,vulnerable_miscoverage_count,safe_miscoverage_count,singleton_count,vulnerable_miscoverage,safe_miscoverage,singleton_coverage,vulnerable_singleton_rate,safe_singleton_rate,review_load,empty_rate,doubleton_rate,pr_auc,brier,ece_equal_mass_15,aurc,fnr_at_fpr_0_005,error_detection_auroc,precision,recall,f1,f2,mcc,vulnerable_signed_target_difference,safe_signed_target_difference,vulnerable_violation,safe_violation,absolute_target_difference_sum,max_relative_violation
hashing,linux,13,0.05,0.05,estimated_weight_no_gate_clip_20,True,25498,1606,23892,179,853,5424,0.11145703611457036,0.03570232713879123,0.212722566475802,0.18244084682440848,0.21475807801774652,0.787277433524198,0.0,0.787277433524198,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.06145703611457036,-0.014297672861208775,0.06145703611457036,0.0,0.07575470897577913,1.229140722291407
hashing,linux,13,0.05,0.05,vultriage_full_gate_clip_20,True,25498,1606,23892,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,-0.05,-0.05,0.0,0.0,0.1,0.0
hashing,linux,13,0.05,0.1,unweighted_mondrian,True,25498,1606,23892,610,754,14836,0.37982565379825656,0.031558680729951445,0.5818495568279866,0.4439601494396015,0.5911183659802445,0.4181504431720135,0.0,0.4181504431720135,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.32982565379825657,-0.06844131927004857,0.32982565379825657,0.0,0.39826697306830516,6.596513075965131
hashing,linux,13,0.05,0.1,estimated_weight_no_gate_clip_20,True,25498,1606,23892,179,2050,6758,0.11145703611457036,0.08580277917294492,0.2650403953251235,0.26774595267745954,0.26485853005190024,0.7349596046748764,0.0,0.7349596046748764,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.06145703611457036,-0.014197220827055088,0.06145703611457036,0.0,0.07565425694162545,1.229140722291407
hashing,linux,13,0.05,0.1,vultriage_full_gate_clip_20,True,25498,1606,23892,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,-0.05,-0.1,0.0,0.0,0.15000000000000002,0.0
hashing,linux,13,0.05,0.2,unweighted_mondrian,True,25498,1606,23892,610,2112,16347,0.37982565379825656,0.08839779005524862,0.6411091065965958,0.539227895392279,0.6479574753055416,0.3588908934034042,0.0,0.3588908934034042,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.32982565379825657,-0.1116022099447514,0.32982565379825657,0.0,0.44142786374300796,6.596513075965131
hashing,linux,13,0.05,0.2,estimated_weight_no_gate_clip_20,True,25498,1606,23892,179,5002,10041,0.11145703611457036,0.20935878118198561,0.39379559181112245,0.4738480697384807,0.3884145320609409,0.6062044081888776,0.0,0.6062044081888776,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.06145703611457036,0.009358781181985604,0.06145703611457036,0.009358781181985604,0.07081581729655596,1.229140722291407
hashing,linux,13,0.05,0.2,vultriage_full_gate_clip_20,True,25498,1606,23892,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,-0.05,-0.2,0.0,0.0,0.25,0.0
hashing,linux,13,0.1,0.05,unweighted_mondrian,True,25498,1606,23892,804,228,17574,0.5006226650062267,0.009542943244600702,0.68923052788454,0.524906600249066,0.7002762430939227,0.31076947211546,0.0,0.31076947211546,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.4006226650062267,-0.040457056755399304,0.4006226650062267,0.0,0.44107972176162596,4.006226650062266
hashing,linux,13,0.1,0.05,estimated_weight_no_gate_clip_20,True,25498,1606,23892,391,853,10864,0.24346201743462018,0.03570232713879123,0.42607263314769783,0.31444582814445826,0.4335760924158714,0.5739273668523022,0.0,0.5739273668523022,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.14346201743462017,-0.014297672861208775,0.14346201743462017,0.0,0.15775969029582895,1.4346201743462017
hashing,linux,13,0.1,0.05,vultriage_full_gate_clip_20,True,25498,1606,23892,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,-0.1,-0.05,0.0,0.0,0.15000000000000002,0.0
hashing,linux,13,0.1,0.1,unweighted_mondrian,True,25498,1606,23892,804,754,18164,0.5006226650062267,0.031558680729951445,0.7123695976154992,0.5647571606475716,0.7222919805792734,0.28763040238450077,0.0,0.28763040238450077,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.4006226650062267,-0.06844131927004857,0.4006226650062267,0.0,0.46906398427627527,4.006226650062266
hashing,linux,13,0.1,0.1,estimated_weight_no_gate_clip_20,True,25498,1606,23892,391,2050,12198,0.24346201743462018,0.08580277917294492,0.4783904619970194,0.39975093399750933,0.4836765444500251,0.5216095380029806,0.0,0.5216095380029806,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.14346201743462017,-0.014197220827055088,0.14346201743462017,0.0,0.15765923826167527,1.4346201743462017
hashing,linux,13,0.1,0.1,vultriage_full_gate_clip_20,True,25498,1606,23892,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,-0.1,-0.1,0.0,0.0,0.2,0.0
