detector,target_group,alpha_vulnerable,alpha_safe,method,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier,f1,mcc
codebert,ffmpeg,0.01,0.1,estimated_weight_no_gate_clip_20,0.011739130434782608,0.018181818181818174,1.1739130434782608,0.19798657718120805,0.8020134228187918,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.01,0.1,unweighted_mondrian,0.011739130434782608,0.06363636363636363,1.1739130434782608,0.23657718120805366,0.7634228187919463,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.01,0.1,vultriage_full_gate_clip_20,0.011739130434782608,0.018181818181818174,1.1739130434782608,0.19798657718120805,0.8020134228187918,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.01,0.2,estimated_weight_no_gate_clip_20,0.011739130434782608,0.005454545454545434,1.1739130434782608,0.2936241610738255,0.7063758389261745,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.01,0.2,unweighted_mondrian,0.011739130434782608,0.09272727272727271,1.1739130434782608,0.37416107382550334,0.6258389261744967,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.01,0.2,vultriage_full_gate_clip_20,0.011739130434782608,0.005454545454545434,1.1739130434782608,0.2936241610738255,0.7063758389261745,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.05,0.05,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.348993288590604,0.6510067114093959,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.05,0.05,unweighted_mondrian,0.0,0.04636363636363636,0.9272727272727271,0.3724832214765101,0.62751677852349,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.05,0.05,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.348993288590604,0.6510067114093959,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.05,0.1,estimated_weight_no_gate_clip_20,0.0,0.018181818181818174,0.18181818181818174,0.43624161073825507,0.5637583892617449,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.05,0.1,unweighted_mondrian,0.0,0.06363636363636363,0.6363636363636362,0.45302013422818793,0.5469798657718121,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.05,0.1,vultriage_full_gate_clip_20,0.0,0.018181818181818174,0.18181818181818174,0.43624161073825507,0.5637583892617449,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.05,0.2,estimated_weight_no_gate_clip_20,0.0,0.005454545454545434,0.02727272727272717,0.5318791946308725,0.46812080536912754,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.05,0.2,unweighted_mondrian,0.0,0.09272727272727271,0.46363636363636357,0.5906040268456376,0.4093959731543625,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.05,0.2,vultriage_full_gate_clip_20,0.0,0.005454545454545434,0.02727272727272717,0.5318791946308725,0.46812080536912754,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.1,0.05,estimated_weight_no_gate_clip_20,0.008695652173913035,0.0,0.08695652173913035,0.5453020134228188,0.4546979865771812,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.1,0.05,unweighted_mondrian,0.0,0.04636363636363636,0.9272727272727271,0.535234899328859,0.46476510067114096,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.1,0.05,vultriage_full_gate_clip_20,0.008695652173913035,0.0,0.08695652173913035,0.5453020134228188,0.4546979865771812,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.1,0.1,estimated_weight_no_gate_clip_20,0.008695652173913035,0.018181818181818174,0.18181818181818174,0.6325503355704698,0.3674496644295302,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.1,0.1,unweighted_mondrian,0.0,0.06363636363636363,0.6363636363636362,0.6157718120805369,0.38422818791946306,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.1,0.1,vultriage_full_gate_clip_20,0.008695652173913035,0.018181818181818174,0.18181818181818174,0.6325503355704698,0.3674496644295302,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.1,0.2,estimated_weight_no_gate_clip_20,0.008695652173913035,0.005454545454545434,0.08695652173913035,0.7281879194630873,0.27181208053691275,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.1,0.2,unweighted_mondrian,0.0,0.09272727272727271,0.46363636363636357,0.7533557046979866,0.24664429530201343,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
