detector,target_group,alpha_vulnerable,alpha_safe,method_baseline,max_relative_violation_baseline,vulnerable_violation_baseline,safe_violation_baseline,singleton_coverage_baseline,review_load_baseline,method_weighted,max_relative_violation_weighted,vulnerable_violation_weighted,safe_violation_weighted,singleton_coverage_weighted,review_load_weighted,baseline_worst_violation,weighted_worst_violation
codebert,imagemagick,0.05,0.05,unweighted_mondrian,2.5610766045548647,0.08,0.1280538302277432,0.4968071519795657,0.5031928480204342,estimated_weight_no_gate_clip_20,1.3999999999999997,0.0699999999999999,0.0,0.2554278416347382,0.7445721583652618,2.5610766045548647,1.3999999999999997
codebert,imagemagick,0.05,0.1,unweighted_mondrian,1.857142857142857,0.08,0.1857142857142857,0.6398467432950191,0.3601532567049808,estimated_weight_no_gate_clip_20,1.3999999999999997,0.0699999999999999,0.0,0.3435504469987228,0.6564495530012772,1.857142857142857,1.3999999999999997
codebert,imagemagick,0.05,0.2,unweighted_mondrian,1.6,0.08,0.253416149068323,0.8033205619412517,0.1966794380587484,estimated_weight_no_gate_clip_20,1.3999999999999997,0.0699999999999999,0.0298136645962732,0.5491698595146871,0.4508301404853129,1.6,1.3999999999999997
codebert,imagemagick,0.1,0.05,unweighted_mondrian,2.5610766045548647,0.0533333333333333,0.1280538302277432,0.5402298850574713,0.4597701149425287,estimated_weight_no_gate_clip_20,1.1333333333333333,0.1133333333333333,0.0,0.3946360153256705,0.6053639846743295,2.5610766045548647,1.1333333333333333
codebert,imagemagick,0.1,0.1,unweighted_mondrian,1.857142857142857,0.0533333333333333,0.1857142857142857,0.6832694763729247,0.3167305236270754,estimated_weight_no_gate_clip_20,1.1333333333333333,0.1133333333333333,0.0,0.4827586206896551,0.5172413793103449,1.857142857142857,1.1333333333333333
codebert,imagemagick,0.1,0.2,unweighted_mondrian,1.2670807453416149,0.0533333333333333,0.253416149068323,0.8467432950191572,0.1532567049808429,estimated_weight_no_gate_clip_20,1.1333333333333333,0.1133333333333333,0.0298136645962732,0.6883780332056194,0.3116219667943806,1.2670807453416149,1.1333333333333333
codebert,jasper,0.01,0.05,unweighted_mondrian,1.0246913580246912,0.0097044334975369,0.0512345679012345,0.2072368421052631,0.7927631578947368,estimated_weight_no_gate_clip_20,1.0246913580246912,0.0097044334975369,0.0512345679012345,0.1957236842105263,0.8042763157894737,1.0246913580246912,1.0246913580246912
codebert,jasper,0.01,0.1,unweighted_mondrian,0.9704433497536946,0.0097044334975369,0.0604938271604938,0.2960526315789473,0.7039473684210527,estimated_weight_no_gate_clip_20,0.9704433497536946,0.0097044334975369,0.0530864197530864,0.2746710526315789,0.725328947368421,0.9704433497536946,0.9704433497536946
codebert,jasper,0.01,0.2,unweighted_mondrian,0.9704433497536946,0.0097044334975369,0.0938271604938271,0.4440789473684211,0.555921052631579,estimated_weight_no_gate_clip_20,0.9704433497536946,0.0097044334975369,0.0839506172839505,0.4161184210526316,0.5838815789473685,0.9704433497536946,0.9704433497536946
codebert,jasper,0.05,0.05,unweighted_mondrian,1.0246913580246912,0.014039408866995,0.0512345679012345,0.3569078947368421,0.6430921052631579,estimated_weight_no_gate_clip_20,1.0246913580246912,0.0386699507389162,0.0512345679012345,0.4259868421052631,0.5740131578947368,1.0246913580246912,1.0246913580246912
codebert,jasper,0.05,0.1,unweighted_mondrian,0.6049382716049381,0.014039408866995,0.0604938271604938,0.4457236842105264,0.5542763157894737,estimated_weight_no_gate_clip_20,0.7733990147783251,0.0386699507389162,0.0530864197530864,0.5049342105263158,0.4950657894736842,0.6049382716049381,0.7733990147783251
codebert,jasper,0.05,0.2,unweighted_mondrian,0.4691358024691358,0.014039408866995,0.0938271604938271,0.59375,0.40625,estimated_weight_no_gate_clip_20,0.7733990147783251,0.0386699507389162,0.0839506172839505,0.6463815789473685,0.3536184210526316,0.4691358024691358,0.7733990147783251
