detector,target_group,alpha_vulnerable,alpha_safe,method,max_relative_violation,vulnerable_violation,safe_violation,singleton_coverage,review_load,support_pass_all_seeds,severe_raw_violation
codebert,qpdf,0.1,0.2,estimated_weight_no_gate_clip_20,2.8602941176470584,0.2860294117647058,0.0,0.8404255319148938,0.1595744680851064,True,True
codebert,radare2,0.1,0.2,estimated_weight_no_gate_clip_20,2.8095238095238093,0.2809523809523809,0.0,0.7763975155279503,0.2236024844720497,True,True
codebert,samba,0.1,0.2,estimated_weight_no_gate_clip_20,1.222222222222222,0.1222222222222222,0.0049891540130151,0.7185109637939827,0.2814890362060173,True,True
codebert,tcpdump,0.1,0.2,estimated_weight_no_gate_clip_20,2.827751196172249,0.2827751196172249,0.0,0.6658878504672897,0.3341121495327103,True,True
codebert,tensorflow,0.1,0.2,estimated_weight_no_gate_clip_20,0.335417597141581,0.0255707762557077,0.0670835194283162,0.7736271946208443,0.2263728053791557,True,False
codebert,vim,0.1,0.2,estimated_weight_no_gate_clip_20,2.0172413793103448,0.2017241379310344,0.0,0.7670157068062827,0.2329842931937172,True,True
hashing,FreeRDP,0.1,0.2,estimated_weight_no_gate_clip_20,0.1219858156028368,0.0121985815602836,0.0,0.3910204081632652,0.6089795918367347,True,False
hashing,envoy,0.1,0.2,estimated_weight_no_gate_clip_20,0.6692913385826772,0.0669291338582676,0.0,0.4258568164508758,0.5741431835491241,False,True
hashing,ffmpeg,0.1,0.2,estimated_weight_no_gate_clip_20,0.3294930875576036,0.0,0.0658986175115206,0.5086469989827059,0.491353001017294,False,False
hashing,ghostpdl,0.1,0.2,estimated_weight_no_gate_clip_20,1.055045871559633,0.1055045871559632,0.012121212121212,0.602826855123675,0.397173144876325,False,True
hashing,imagemagick,0.1,0.2,estimated_weight_no_gate_clip_20,0.670807453416149,0.0,0.1341614906832297,0.5371647509578544,0.4628352490421455,False,True
hashing,jasper,0.1,0.2,estimated_weight_no_gate_clip_20,0.1185185185185184,0.0,0.0237037037037036,0.5108552631578946,0.4891447368421052,True,False
hashing,krb5,0.1,0.2,estimated_weight_no_gate_clip_20,0.6610169491525423,0.0661016949152541,0.0225201072386058,0.5458248472505092,0.4541751527494908,False,True
hashing,librsvg,0.1,0.2,estimated_weight_no_gate_clip_20,2.557894736842105,0.2557894736842104,0.0215652173913043,0.508955223880597,0.491044776119403,False,True
hashing,libtpms,0.1,0.2,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.1644897959183673,0.8355102040816327,True,False
hashing,libxml2,0.1,0.2,estimated_weight_no_gate_clip_20,0.475051975051975,0.0,0.0950103950103949,0.5679611650485437,0.4320388349514563,False,False
hashing,linux,0.1,0.2,estimated_weight_no_gate_clip_20,0.5623019762354714,0.0552110817941952,0.0357749682252992,0.564190707561494,0.4358092924385059,False,True
hashing,mongo,0.1,0.2,estimated_weight_no_gate_clip_20,1.2499999999999998,0.1249999999999999,0.0,0.504225352112676,0.4957746478873239,False,True
hashing,mysql-server,0.1,0.2,estimated_weight_no_gate_clip_20,0.067099567099567,0.0,0.0134199134199133,0.6953100573215216,0.3046899426784783,True,False
hashing,net,0.1,0.2,estimated_weight_no_gate_clip_20,0.0068965517241379,0.0006896551724137,0.0,0.6203314917127072,0.3796685082872928,True,False
hashing,openssl,0.1,0.2,estimated_weight_no_gate_clip_20,0.4916820702402956,0.0157522123893804,0.0983364140480591,0.6833639705882353,0.3166360294117646,True,False
hashing,php,0.1,0.2,estimated_weight_no_gate_clip_20,0.4447592067988668,0.0444759206798866,0.0,0.5631403118040089,0.4368596881959911,True,False
hashing,postgres,0.1,0.2,estimated_weight_no_gate_clip_20,0.1605652609324578,0.0135064935064934,0.0129090167278661,0.6579654510556623,0.3420345489443377,True,False
hashing,qemu,0.1,0.2,estimated_weight_no_gate_clip_20,1.1242603550295855,0.1124260355029585,0.0,0.6245254365983295,0.3754745634016704,False,True
hashing,qpdf,0.1,0.2,estimated_weight_no_gate_clip_20,0.6691176470588235,0.0669117647058823,0.0233817701453103,0.6071668533034714,0.3928331466965285,False,True
hashing,radare2,0.1,0.2,estimated_weight_no_gate_clip_20,0.1415857605177992,0.0042857142857142,0.0269070735090152,0.4403726708074534,0.5596273291925467,True,False
hashing,samba,0.1,0.2,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.485874553799082,0.5141254462009179,True,False
hashing,tcpdump,0.1,0.2,estimated_weight_no_gate_clip_20,1.0639269406392693,0.0,0.2127853881278538,0.4771028037383177,0.5228971962616822,True,True
hashing,tensorflow,0.1,0.2,estimated_weight_no_gate_clip_20,0.0117016525234479,0.0,0.0023403305046895,0.3991034740381023,0.6008965259618976,True,False
hashing,vim,0.1,0.2,estimated_weight_no_gate_clip_20,0.5172413793103448,0.0517241379310344,0.0230612244897958,0.5087041884816753,0.4912958115183246,True,True
